Genome,Ave_fit,Std_fit,Sum_fit,Ave_thr,Std_thr,Seed,Num_Learning,Num_Mating
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",64.65070531785535,22.50325216784806,42.147453150007294,10.099085900826687,2.2648065162671323,39256,1,9
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",55.20849847149229,20.247000254610125,34.96149821688216,9.900624928643051,2.206448159409225,54608,2,8
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",57.19493341518358,21.523694874009877,35.6712385411737,10.128393490106497,2.142379292903817,95328,2,8
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",50.19081421088138,19.67838927845961,30.51242493242177,10.229059567982826,2.2581995501755388,93231,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",57.823964745438516,21.25792931362215,36.56603543181637,9.9995648040138,2.10979512699866,45171,2,8
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",50.171480905874326,20.715177333964757,29.45630357190957,10.2841976310215,2.2619021157257673,22095,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",49.76762260792859,19.675342408170593,30.092280199757994,10.083855444574539,2.1830698517689613,3638,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",42.42900407948696,18.924195182026665,23.504808897460293,10.026695564253203,2.236072705336013,52915,4,6
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",55.827016208892786,21.11820134176236,34.70881486713043,9.965065508350476,2.2877160195362434,88298,2,8
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1]",50.95306634722495,19.83162941120711,31.121436936017837,10.150444858196877,2.156162460315704,54203,3,7
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",50.45708345603853,20.940613554866545,29.516469901171988,10.087901801737361,2.244839371944463,15125,3,7
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",43.041012966446964,18.84770836765161,24.193304598795354,10.06930521169904,2.146734403988894,16453,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",47.71710498504214,19.426838482367003,28.290266502675138,10.080434333346053,2.1585721229101935,11699,3,7
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]",41.759713599736,18.336502806005406,23.423210793730597,10.009181844814744,2.24967616229159,10689,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",41.56859370524825,18.202752928097603,23.365840777150645,10.143636517701651,2.1675776277876824,79845,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1]",36.19415828230794,16.844941376939893,19.349216905368046,10.128009013215111,2.25552074172233,26137,5,5
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",56.25636557042601,20.947364084493376,35.30900148593264,10.223804467442132,2.117832344060566,94009,2,8
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",49.18152429679732,20.27676493958818,28.90475935720914,10.182085576155258,2.1563690875508765,57169,3,7
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",49.89164433445642,19.957985809117844,29.93365852533858,10.168730032087046,2.1530326474759094,51728,3,7
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",43.005909343551075,18.298106924556926,24.70780241899415,10.231048049920888,2.088440026335803,21288,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",50.12327765455045,19.234099640988237,30.889178013562212,10.130770442797251,2.2287421113972457,72058,3,7
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",43.3164964158321,19.656714502115253,23.659781913716845,10.1399044419928,2.4870529126747827,56541,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 0]",42.5391484747952,18.50269755816261,24.03645091663259,10.032637073238108,2.2312440602973505,69971,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",35.97540906707396,17.082399172272442,18.89300989480152,10.057325729981997,2.146205950878151,10339,5,5
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",51.91562596725984,20.692390454860337,31.223235512399505,10.369633298754486,2.214995060044108,6070,3,7
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1]",43.04424753397357,20.05845861306535,22.985788920908217,10.1185946834453,2.2287111696033053,77424,4,6
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",41.851929828890526,19.852692319802717,21.99923750908781,10.030810749277235,2.176063076990913,37189,4,6
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 1]",35.973968295508385,17.085964499537152,18.888003795971233,10.141952387998373,2.132324789781211,85395,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",43.647180868894104,18.763283879437097,24.883896989457007,10.172797246316891,2.2191089045457195,72449,4,6
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 1]",35.38830599976941,18.165693917172693,17.222612082596715,10.140010964152095,2.2284446111435727,25287,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",36.21513143111168,16.988767054621547,19.22636437649013,10.1318210820485,2.224818782468694,63100,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 1]",28.061918664457224,15.15845403640603,12.903464628051195,10.132279767851436,2.144079457395611,37119,6,4
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0]",57.40112474001265,21.629205333807757,35.77191940620489,9.91137457826478,2.249719874602901,27065,2,8
"[1, 0, 0, 0, 1, 0, 0, 0, 0, 1]",50.27445976849513,21.302718042398244,28.971741726096884,10.009501555396405,2.2501191069622863,75623,3,7
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",48.21416430629727,20.67595735519348,27.538206951103792,10.043666625854966,2.2753769213797397,33358,3,7
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",43.212082249944984,19.279285268261383,23.9327969816836,10.067687095261384,2.217876670846334,32587,4,6
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 0]",51.36996285937439,18.819030272570654,32.55093258680374,10.052747009558006,2.2710529769140004,12937,3,7
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",41.271572577814794,17.952457939873735,23.31911463794106,10.080176266033385,2.1332179792234345,74798,4,6
"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0]",42.29331427314204,19.002140225798193,23.291174047343844,10.066106387206489,2.197455266906373,38801,4,6
"[1, 0, 0, 0, 1, 0, 0, 1, 1, 1]",34.41954408386409,17.54387896392397,16.87566511994012,9.918138637054339,2.171903074125161,88757,5,5
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 0]",49.78701269577571,20.194095885104513,29.592916810671195,9.93535383273941,2.1414707785191376,38455,3,7
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1]",43.875259336550656,19.830902101303096,24.04435723524756,10.031994959820217,2.211769662295513,54902,4,6
"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0]",44.09935441354278,19.920098775475715,24.179255638067062,10.139407856352372,2.140667820851765,65072,4,6
"[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]",36.64738004659419,17.560076531150273,19.08730351544392,9.988298732840983,2.0992474928133764,84675,5,5
"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0]",41.853641117127175,18.08190205314521,23.771739063981965,10.156707110949194,2.2583887237715383,30914,4,6
"[1, 0, 0, 0, 1, 0, 1, 1, 0, 1]",37.08057541377309,17.972598491040433,19.107976922732657,10.057662665214236,2.186523255473932,2170,5,5
"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0]",33.93745788207355,17.36752023775394,16.569937644319612,10.064197455370191,2.1930292563658207,61825,5,5
"[1, 0, 0, 0, 1, 0, 1, 1, 1, 1]",28.990214015441598,15.79923136798524,13.190982647456359,10.131871615681197,2.0582914824600587,64954,6,4
"[1, 0, 0, 0, 1, 1, 0, 0, 0, 0]",49.97320880836326,20.327616144317574,29.645592664045687,10.117768352616244,2.225905204791976,19825,3,7
"[1, 0, 0, 0, 1, 1, 0, 0, 0, 1]",42.2580758952099,19.48872923384979,22.76934666136011,10.236667864783703,2.1579179239548716,49779,4,6
"[1, 0, 0, 0, 1, 1, 0, 0, 1, 0]",42.44405773821381,19.047374379412982,23.396683358800825,9.918301107017312,2.1138589056828865,89844,4,6
"[1, 0, 0, 0, 1, 1, 0, 0, 1, 1]",34.87548100959493,18.230307442261264,16.645173567333664,10.0081660881851,2.17411989693462,39582,5,5
"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",44.02607691410051,20.592236220799567,23.43384069330094,10.17853084471472,2.277720260612947,75641,4,6
"[1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",35.08106889841413,16.913203225352724,18.167865673061407,10.032204229621628,2.1478237105346434,66062,5,5
"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0]",36.502657361317944,16.92939725489018,19.573260106427764,10.104488203393482,2.148029888504128,6749,5,5
"[1, 0, 0, 0, 1, 1, 0, 1, 1, 1]",29.083779451540607,16.816216884711583,12.267562566829024,10.1824863591811,2.2280624359086127,2192,6,4
"[1, 0, 0, 0, 1, 1, 1, 0, 0, 0]",43.1039331111797,19.579219255434822,23.524713855744878,9.906243637632144,2.2819993686380413,2145,4,6
"[1, 0, 0, 0, 1, 1, 1, 0, 0, 1]",34.935370548041455,17.666465371393738,17.268905176647717,10.09019206007173,2.086144274524726,49167,5,5
"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0]",34.648413441440304,18.38083916905769,16.267574272382614,10.085331718432375,2.218022632402438,36904,5,5
"[1, 0, 0, 0, 1, 1, 1, 0, 1, 1]",27.84896136154212,16.09787070181995,11.75109065972217,10.1458902369577,2.3383950471379866,1637,6,4
"[1, 0, 0, 0, 1, 1, 1, 1, 0, 0]",35.910596340327146,18.407474512992795,17.50312182733435,10.071524763373347,2.219184830406138,30308,5,5
"[1, 0, 0, 0, 1, 1, 1, 1, 0, 1]",27.607157758096832,15.672453025150832,11.934704732946,10.059690558629526,2.146411136801893,9663,6,4
"[1, 0, 0, 0, 1, 1, 1, 1, 1, 0]",27.65599994380923,15.7886550731875,11.86734487062173,9.971234409269371,2.316417388349559,38493,6,4
"[1, 0, 0, 0, 1, 1, 1, 1, 1, 1]",22.26539314188194,14.110519549639791,8.154873592242149,10.204311174568295,2.240519983698616,7547,7,3
"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0]",56.12834248739807,21.443614091770286,34.684728395627786,9.923404040096253,2.173274266621921,38303,2,8
"[1, 0, 0, 1, 0, 0, 0, 0, 0, 1]",48.43549607954686,19.654028026573013,28.781468052973846,9.91625487132938,2.1938262097390715,98322,3,7
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 0]",50.245580141080076,21.019401730528937,29.22617841055114,10.133953549745707,2.2394178511750424,89998,3,7
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 1]",42.21894098789506,18.82797008408369,23.39097090381137,10.116295450050691,2.1570206301092982,44588,4,6
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",51.1060982116699,20.967708569167673,30.13838964250223,10.267068994520917,2.2990842661851443,50348,3,7
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",42.21030565989806,19.5472526419403,22.66305301795776,10.005718218530797,2.218267136089798,84911,4,6
"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0]",42.174370843286745,18.718539151509464,23.45583169177728,9.936419561120772,2.1602176917106313,38773,4,6
"[1, 0, 0, 1, 0, 0, 0, 1, 1, 1]",36.79691232113075,17.546104135445145,19.250808185685603,10.16704868521936,2.1742311059473614,14717,5,5
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 0]",49.55990046071153,20.64047671160616,28.919423749105373,10.047374323457024,2.351248513684839,33364,3,7
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",42.88511150596823,19.318446212621737,23.566665293346496,10.079222626591342,2.228490903948771,57735,4,6
"[1, 0, 0, 1, 0, 0, 1, 0, 1, 0]",42.39825528577482,19.72839057525536,22.669864710519462,10.081644560439333,2.142276842146259,49293,4,6
"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",34.03933515861939,16.946331312050127,17.09300384656926,10.095525936791878,2.2310529485353183,546,5,5
"[1, 0, 0, 1, 0, 0, 1, 1, 0, 0]",43.06417369967628,18.665244180547457,24.398929519128824,10.06655815827624,2.068329769466125,84474,4,6
"[1, 0, 0, 1, 0, 0, 1, 1, 0, 1]",33.96139264683318,16.469736089694795,17.491656557138388,9.988729683222191,2.237372301577086,5953,5,5
"[1, 0, 0, 1, 0, 0, 1, 1, 1, 0]",35.35048394041316,17.541786367993193,17.80869757241997,10.107242545230017,2.1449608468799526,53067,5,5
"[1, 0, 0, 1, 0, 0, 1, 1, 1, 1]",27.955787582804668,16.316900137799973,11.638887445004695,10.123057776184515,2.3459396103507983,31849,6,4
"[1, 0, 0, 1, 0, 1, 0, 0, 0, 0]",51.76614878086531,20.90527123383321,30.860877547032096,10.108569379668136,2.078908345006772,61468,3,7
"[1, 0, 0, 1, 0, 1, 0, 0, 0, 1]",42.260517805108364,18.538038656071237,23.722479149037127,10.071120516721285,2.1209981465189554,96728,4,6
"[1, 0, 0, 1, 0, 1, 0, 0, 1, 0]",43.54605594673413,20.621911395333022,22.924144551401106,10.135048812862777,2.127367180490595,21002,4,6
"[1, 0, 0, 1, 0, 1, 0, 0, 1, 1]",35.51401269944685,18.28242599236621,17.23158670708064,9.99593812181758,2.2172504341201744,75138,5,5
"[1, 0, 0, 1, 0, 1, 0, 1, 0, 0]",42.46686865834937,19.042662299370186,23.424206358979184,10.12861018131324,2.1814797584466072,53470,4,6
"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",35.901109639093136,18.54306712387753,17.358042515215605,10.260323506947355,2.214366923239391,56830,5,5
"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0]",35.748295319126434,17.075653320698265,18.67264199842817,9.924241968778444,2.2185182049117538,11984,5,5
"[1, 0, 0, 1, 0, 1, 0, 1, 1, 1]",28.042815526572337,15.449250679960128,12.593564846612209,10.080482192471896,2.259163822733035,92187,6,4
"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]",42.724168222713445,18.34524479591147,24.378923426801975,10.03315564337421,2.205686371081604,90808,4,6
"[1, 0, 0, 1, 0, 1, 1, 0, 0, 1]",35.35056813029529,18.20524808922377,17.145320041071518,9.954435842018992,2.0890691350845882,16332,5,5
"[1, 0, 0, 1, 0, 1, 1, 0, 1, 0]",35.46836432399778,18.486310009969124,16.98205431402866,10.149499776159418,2.23287312538963,39916,5,5
"[1, 0, 0, 1, 0, 1, 1, 0, 1, 1]",27.907034870511104,15.996346111177557,11.910688759333548,10.20077592428554,2.1810570137075156,27614,6,4
"[1, 0, 0, 1, 0, 1, 1, 1, 0, 0]",35.64824066437077,18.113569632805124,17.534671031565644,10.02573006867298,2.1989561803495588,73080,5,5
"[1, 0, 0, 1, 0, 1, 1, 1, 0, 1]",29.01796609395727,16.018907119026665,12.999058974930605,10.075802807183432,2.2625197310684864,58636,6,4
"[1, 0, 0, 1, 0, 1, 1, 1, 1, 0]",29.549998361542592,16.243595417616273,13.306402943926319,10.158006486411482,2.177468772375673,27279,6,4
"[1, 0, 0, 1, 0, 1, 1, 1, 1, 1]",21.729576424196882,14.637102723070896,7.092473701125986,10.174990021631949,2.097836300071514,36162,7,3
"[1, 0, 0, 1, 1, 0, 0, 0, 0, 0]",51.101673223242564,20.311676286052705,30.78999693718986,10.151695450604642,2.2035004868778794,1181,3,7
"[1, 0, 0, 1, 1, 0, 0, 0, 0, 1]",42.3361675104981,19.873214869456234,22.462952641041866,10.031567532345392,2.176361937245754,4368,4,6
"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",41.57149621083562,18.87232181245475,22.69917439838087,9.898534015769512,2.219655026133181,85466,4,6
"[1, 0, 0, 1, 1, 0, 0, 0, 1, 1]",36.99904992338991,18.057774833273044,18.941275090116868,10.133576007965686,2.257022453500603,66928,5,5
"[1, 0, 0, 1, 1, 0, 0, 1, 0, 0]",41.11554566729296,18.949458891814263,22.1660867754787,9.857331307671561,2.169313486682983,39702,4,6
"[1, 0, 0, 1, 1, 0, 0, 1, 0, 1]",35.715108467961905,17.949201914231857,17.765906553730048,10.167950368154854,2.2223029876113283,12471,5,5
"[1, 0, 0, 1, 1, 0, 0, 1, 1, 0]",35.566669413922355,18.540115585030595,17.02655382889176,10.021950877280759,2.125397029566583,12514,5,5
"[1, 0, 0, 1, 1, 0, 0, 1, 1, 1]",28.441709070977296,15.552471177247556,12.88923789372974,10.087756306787035,2.1224130232309544,88580,6,4
