Genome,Ave_fit_x,Std_fit_x,Ave_thr_x,Std_thr_x,Seed_x,Num_Learning_x,Num_Mating_x,Ave_fit_y,Std_fit_y,Sum_fit,Ave_thr_y,Std_thr_y,Seed_y,Num_Learning_y,Num_Mating_y
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1.12525960199059,4.31567466409719,10.2277716273911,2.20975149813494,35414,1,9,1.6750216312207626,8.081781594378857,24.93683546007394,10.146755853888004,2.11329264208118,13976,1,9
"[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",1.0928335954465345,4.19839384956132,10.1203411024808,2.21039438759102,99796,2,8,1.5297741618806888,9.096938767828323,21.05850895264219,10.067523762693977,2.126973488163152,10509,2,8
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 0]",1.092537126703911,4.30756824822172,10.0153239719197,2.18236653996006,15562,2,8,1.5254331541324062,9.024528878811148,21.04534736616356,10.174698136422096,2.162765693001047,10059,2,8
"[1, 0, 0, 0, 0, 0, 0, 0, 1, 1]",1.0941676213531593,4.51226819493627,10.0895693820631,2.13887469543274,56031,3,7,1.4068390602510639,9.418391638630808,18.3137160081354,10.057973414932484,2.1890676184824653,5711,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 0]",1.0978535382889874,4.58201026514436,10.1307405115154,2.23191928208107,17371,2,8,1.5369577098597755,8.914157653471294,21.382894697884417,10.04083632055183,2.1614219376442656,22628,2,8
"[1, 0, 0, 0, 0, 0, 0, 1, 0, 1]",1.084616322440367,5.06107944104003,10.0396830323781,2.17378063674774,3899,3,7,1.4198182395688754,8.836905405042925,19.151052401260365,10.067212176325894,2.238995227418797,44510,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 0]",1.117427046231238,4.94933483731457,10.2277716273911,2.20975149813494,35414,3,7,1.3780363776104323,9.487111156254183,17.677227853662338,10.12881415693086,2.176739220279698,69899,3,7
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",1.066631573960482,5.03988896677818,10.1203411024808,2.21039438759102,99796,4,6,1.2576010411511054,9.282540714454882,15.507734474281897,10.160046655873924,2.214181152614226,41797,4,6
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 0]",1.0877559856646877,4.1916509308235,10.0153239719197,2.18236653996006,15562,2,8,1.555824043374102,9.392238600524008,21.27671356986696,10.184280805689438,2.327826729027353,73679,2,8
"[1, 0, 0, 0, 0, 0, 1, 0, 0, 1]",1.0982341683235477,4.48924231158766,10.0895693820631,2.13887469543274,56031,3,7,1.4264042690573318,8.924259644044024,19.193524297955307,9.946198777067512,2.04874436947734,23240,3,7
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 0]",1.0906524081334876,4.54905928051654,10.1307405115154,2.23191928208107,17371,3,7,1.406646714309627,9.563442174589335,18.164873881152676,9.953701748933955,2.3408905992386724,89573,3,7
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",1.0816311678472315,5.18417421903791,10.0396830323781,2.17378063674774,3899,4,6,1.2962835151074545,9.407541796384352,16.145255959510365,10.151423310018943,2.19121737692314,87691,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 0]",1.1116241996762124,4.92971453914441,10.2277716273911,2.20975149813494,35414,3,7,1.3969979090724516,9.005330958359954,18.53278444610622,10.097020838151703,2.133352315685254,2162,3,7
"[1, 0, 0, 0, 0, 0, 1, 1, 0, 1]",1.0641714099020705,4.9357249241633,10.1203411024808,2.21039438759102,99796,4,6,1.2170185933996132,8.601016291617995,15.38928337652668,10.00602972008716,2.167925887061988,80461,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 0]",1.0644488597445065,5.03948135156621,10.0153239719197,2.18236653996006,15562,4,6,1.2491321713954298,9.289952452753678,15.3333813889971,10.030776597582566,2.2607340913535867,72160,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1]",1.0699273390170456,5.42013439288933,10.0895693820631,2.13887469543274,56031,5,5,1.1170703143619998,9.21972167114208,12.80036227603344,10.193553054620462,2.1491826532069944,64349,5,5
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 0]",1.1096695345350747,4.30495634768103,10.1307405115154,2.23191928208107,17371,2,8,1.5271600904269842,8.865322194605087,21.238596027574744,10.087995675226413,2.2216583231419857,7424,2,8
"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1]",1.0779359671702688,4.6403400233514,10.0396830323781,2.17378063674774,3899,3,7,1.3944411986669962,8.856473078845088,18.631243548540617,10.02899383624783,2.1561820151554123,81762,3,7
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 0]",1.1166813457612825,4.84458826702409,10.2277716273911,2.20975149813494,35414,3,7,1.4039782620599721,8.728537087643941,18.947177496381407,10.039348249843629,2.170907552734064,6781,3,7
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",1.0751091559891794,5.01454170182284,10.1203411024808,2.21039438759102,99796,4,6,1.2544290081954546,9.491226509183726,15.236520447383056,10.128307673958496,2.19569493452786,15976,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]",1.0864666606840265,4.42896467334045,10.0153239719197,2.18236653996006,15562,3,7,1.4177765700529188,8.912807669894818,19.03490402695973,10.25420826736173,2.201674559699892,73866,3,7
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",1.0835967561575937,4.98946322823384,10.0895693820631,2.13887469543274,56031,4,6,1.2532941036237373,9.017922224280897,15.687453093168855,10.144214558922137,2.312042940218972,81166,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 0]",1.0806887252060482,5.13864496410624,10.1307405115154,2.23191928208107,17371,4,6,1.2985645607820144,8.945000120760257,16.65276241183237,9.99099723999754,2.1669127160977477,96475,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",1.0215788451959924,5.95890917082033,10.0396830323781,2.17378063674774,3899,5,5,1.1278002758760541,9.29767648637011,12.93392024585725,10.088519544797906,2.2390614883103503,71831,5,5
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0]",1.109491291580263,4.91251527151891,10.2277716273911,2.20975149813494,35414,3,7,1.3624714287853787,9.10708648397356,17.750430766063936,10.07035540701686,2.189427325797669,46808,3,7
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1]",1.0695583841413103,5.01426044761431,10.1203411024808,2.21039438759102,99796,4,6,1.2491027213447607,9.676047719406434,14.946705592560631,10.218560350294409,2.1959988419554977,95053,4,6
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",1.0614699201955113,5.00314585898349,10.0153239719197,2.18236653996006,15562,4,6,1.262074146440181,9.32821830062736,15.55023231691066,10.179321746082003,2.0784772981596724,82651,4,6
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 1]",1.0709518659545936,5.37073092010825,10.0895693820631,2.13887469543274,56031,5,5,1.0591760505784367,9.17435308340021,11.704498720924851,9.805291466672331,2.131903442039476,53369,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",1.0758215749838178,5.29650220018029,10.1307405115154,2.23191928208107,17371,4,6,1.2433398585575623,8.860444150304316,15.648709578253678,10.149663206100842,2.038178784631256,53884,4,6
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 1]",1.0211375037703305,6.14997932741456,10.0396830323781,2.17378063674774,3899,5,5,1.083853440362915,9.583125524013598,11.782175689686143,10.222841987326316,2.2938562481159472,26820,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",1.0771722546434463,5.97835013414351,10.2277716273911,2.20975149813494,35414,5,5,1.0732014580931604,9.304930761666478,11.85039482134274,9.933112246525408,2.135426351100611,53503,5,5
