Genome,Ave_fit_x,Std_fit_x,Ave_thr_x,Std_thr_x,Seed_x,Num_Learning_x,Num_Mating_x,Ave_fit_y,Std_fit_y,Sum_fit,Ave_thr_y,Std_thr_y,Seed_y,Num_Learning_y,Num_Mating_y
"[1, 0, 0, 0, 0, 0, 0, 1, 1, 1]",1.074934240990157,5.75848623219864,10.0346940594501,2.08812157035675,38526,4,6,1.1743938956190583,4.26948541854494,8.42429189732912,9.921051919908288,2.159705987468288,27241,4,6
"[1, 0, 0, 0, 0, 0, 1, 0, 1, 1]",1.0518291331192142,5.67385454918001,10.1860317107945,2.2707097933352,41103,4,6,1.2119414358989749,4.585908100602204,8.513712703432043,10.04589327706682,2.230956153642933,98474,4,6
"[1, 0, 0, 0, 0, 0, 1, 1, 1, 1]",1.034876295683746,5.99388606853761,10.0464541499459,2.32456184802313,44091,5,5,1.1047396348311673,4.688980204799365,7.251918814583525,10.135418815973145,2.221386311453537,16740,5,5
"[1, 0, 0, 0, 0, 1, 0, 0, 1, 1]",1.0413287688766728,5.29794944836933,10.1788778165998,2.1947438504974,56439,4,6,1.1938124982138563,4.282841418788619,8.620827499931252,10.016670345413525,2.2244027556340984,56014,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 0, 1]",1.0103793840433584,5.82132853508402,10.2484061439163,2.30997052659659,48634,4,6,1.2194664718183492,4.5579516900613415,8.623005649023732,10.192544475289472,2.3759908764882782,87977,4,6
"[1, 0, 0, 0, 0, 1, 0, 1, 1, 1]",1.0354327546761606,6.37286900656085,10.1504650088745,2.13896125758396,84155,5,5,1.0783282460534318,4.687760036358365,6.967663820902001,10.071004168991246,2.264108485116375,74219,5,5
"[1, 0, 0, 0, 0, 1, 1, 0, 0, 1]",1.0258496582277241,5.13987697705483,10.2069827748945,2.18457610260773,72216,4,6,1.1802574784944526,4.419689764675539,8.337465788748192,10.08016662076677,2.160189025086883,52597,4,6
"[1, 0, 0, 0, 0, 1, 1, 0, 1, 0]",1.0353380038048101,5.46240344311247,9.98184102757607,2.22818391488818,83194,4,6,1.172040609089655,4.3739723690770775,8.29436876624791,9.914092138790766,2.11834720573516,66954,4,6
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 0]",1.027907126367814,5.1942002227051,10.1382117599744,2.10612757735233,45400,4,6,1.195183664917473,4.302742682384522,8.615746889664337,10.002329160700738,2.1899603674167216,5086,4,6
"[1, 0, 0, 0, 0, 1, 1, 1, 0, 1]",1.0463918669162553,5.91054968029327,10.2465789636694,2.19959578482182,15168,5,5,1.0791108126499103,4.711824150268907,6.9520583052076095,9.916583526847386,2.132936285676703,90921,5,5
"[1, 0, 0, 0, 0, 1, 1, 1, 1, 0]",1.0123857602837427,6.47971779217163,10.115400632258,2.16602953989606,58657,5,5,1.1022375859306035,4.682980913700048,7.230873983863352,10.19198478537314,2.1083940782538617,16457,5,5
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 0]",1.0105195194065988,4.94994341816605,10.0862185301794,2.18636275777091,675,3,7,1.2688059020519105,4.03789629327054,9.676360599408335,10.057110388845702,2.057929831665632,35515,3,7
"[1, 0, 0, 0, 1, 0, 0, 0, 1, 1]",1.012706716725043,5.47057381523552,9.99096168866015,2.12739059720289,99969,4,6,1.2076894049974853,4.302537187467198,8.75112430631768,10.162894564324608,2.293272257800974,23054,4,6
"[1, 0, 0, 0, 1, 0, 0, 1, 0, 1]",1.0556646159857643,5.98482432831847,10.3055658825616,2.38872625926263,43796,4,6,1.2119850697752301,4.334353692394047,8.765738741057454,10.0051901134848,2.197464684276909,54743,4,6
"[1, 0, 0, 0, 1, 0, 0, 1, 1, 1]",1.031200888370187,6.03764342247104,10.0656052821227,2.29415053378298,10892,5,5,1.089813234312046,4.738340779845345,7.041221906792559,9.952219311167914,2.2536251002316656,39440,5,5
"[1, 0, 0, 0, 1, 0, 1, 0, 0, 1]",1.0169229460441425,5.45724504547884,10.119679885104,2.15951517144354,79420,4,6,1.227572713092192,4.373442564541197,8.89513343637681,10.007309036252096,2.245558701502853,14323,4,6
"[1, 0, 0, 0, 1, 0, 1, 0, 1, 1]",1.0500371082250808,5.82198845165134,9.98541452570601,2.17025321641056,30633,5,5,1.086660213936081,4.89859001917136,6.84689233149561,10.165571122951638,2.1374454000599057,52197,5,5
"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0]",1.0108588662562221,5.25689077891778,10.0694052848431,2.19606034379855,70489,4,6,1.1895402360147003,4.469444305848612,8.388046626768455,10.19980374443458,2.239264371856553,84524,4,6
"[1, 0, 0, 0, 1, 0, 1, 1, 1, 0]",1.0260865467103295,5.71055257159283,10.2104922153954,2.19606190414351,56587,5,5,1.0906017208428687,4.610262482313927,7.177822789868885,10.131227083163028,2.203157821905429,73422,5,5
"[1, 0, 0, 0, 1, 1, 0, 0, 1, 1]",1.0237259971070336,5.85252345183188,10.2472361539468,2.25988832679182,97784,5,5,1.134104900952561,4.5988125173130685,7.659489504892703,10.099866871189173,2.23639116118638,50267,5,5
"[1, 0, 0, 0, 1, 1, 0, 1, 0, 0]",1.0274236490448971,5.5765317174083,10.1795121049612,2.16007165590197,24341,4,6,1.1881226828427793,4.291550672078567,8.550618225602097,10.189081999334288,2.1396920154819146,48218,4,6
"[1, 0, 0, 0, 1, 1, 0, 1, 0, 1]",1.0126739490652503,6.18555528118058,10.147220320368,2.20312380943561,2317,5,5,1.1041631675770254,4.593883382792627,7.340784722940874,10.04480301689544,2.2160272856252563,57082,5,5
"[1, 0, 0, 0, 1, 1, 0, 1, 1, 0]",1.0484601168821701,5.639434053804,10.1108177949462,2.19369496672302,14771,5,5,1.101268869000884,4.70753181015462,7.195852429281345,10.110613661110554,2.1213526716732725,68327,5,5
"[1, 0, 0, 0, 1, 1, 1, 0, 1, 0]",1.0602554201614918,6.08705430442473,10.2212069892155,2.22669707055302,49780,5,5,1.0979821857597494,4.524429802058689,7.3434293675294064,10.06350333120125,2.1613046765672883,12467,5,5
"[1, 0, 0, 1, 0, 0, 0, 0, 1, 1]",1.0085471715166248,5.25529089957832,10.1538322992481,2.21132297936808,76874,4,6,1.1792550293684145,4.355336032306659,8.390984258754173,10.011746308628116,2.216996951886735,93306,4,6
"[1, 0, 0, 1, 0, 0, 0, 1, 0, 1]",1.0314210385682836,5.3782372600806,10.1469108283382,2.27042800056581,49429,4,6,1.2168179717347287,4.437506804563834,8.714823452578827,10.113349152058108,2.27953393927842,41403,4,6
"[1, 0, 0, 1, 0, 0, 0, 1, 1, 0]",1.0036693182163923,4.93586769706388,10.1004995144412,2.0832942142952,22144,4,6,1.205265978811845,4.161824207804906,8.865642980596803,9.999183487445473,2.1616940498629,49825,4,6
"[1, 0, 0, 1, 0, 0, 1, 0, 0, 1]",1.0278762910845012,5.47664850430575,10.1185604211848,2.23067720221812,51949,4,6,1.1870808441648495,4.239593094045488,8.591314787866924,10.140195363736265,2.22666060788996,83941,4,6
"[1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",1.0091886100852687,6.0122027439938,10.0912888929972,2.22962073229455,55103,5,5,1.0743130595758004,4.47191840142961,7.140106147286245,9.963534708869954,2.190842016282066,11345,5,5
"[1, 0, 0, 1, 0, 0, 1, 1, 0, 1]",1.0136235657836916,6.02473156000206,10.2543087437374,2.15691596981851,15901,5,5,1.1017334919932595,4.503980835883755,7.404425416032902,10.104464294865258,2.194660235632062,78009,5,5
"[1, 0, 0, 1, 0, 0, 1, 1, 1, 0]",1.0112220096479345,5.40650395829736,10.1239168590992,2.26910250806895,2752,5,5,1.0739546323083988,4.684809943079575,6.923340440474743,9.989486827961429,2.231527272993957,81968,5,5
"[1, 0, 0, 1, 0, 1, 0, 0, 1, 0]",1.0224838708367125,5.6751540070102,10.1520182852293,2.10802839872362,68891,4,6,1.1705281767083375,4.27151729992522,8.38047627098771,10.1018301360907,2.212466430103195,87967,4,6
"[1, 0, 0, 1, 0, 1, 0, 1, 0, 1]",1.0143557489652666,5.77562111781789,10.0622518206588,2.19204194690996,5508,5,5,1.1292175957862862,4.617066945437138,7.588409220225238,10.222540976780657,2.2039467101686747,11838,5,5
"[1, 0, 0, 1, 0, 1, 0, 1, 1, 0]",1.0302999882525055,6.27903318552476,10.1927907193784,2.15769412645614,82522,5,5,1.114357896995917,4.802957032174138,7.2419037657401955,10.142196850190963,2.2089005135085493,33093,5,5
"[1, 0, 0, 1, 0, 1, 1, 0, 0, 1]",1.0471935479510281,6.28358620328048,10.1504930586869,2.30842549323966,99666,5,5,1.0809079320513415,4.899975007529484,6.783332134653005,10.091572602909531,2.352930910961066,651,5,5
"[1, 0, 0, 1, 0, 1, 1, 0, 1, 0]",1.0089420921462438,5.58912881544685,10.0580511904529,2.20153469373892,11311,5,5,1.0869476752003933,4.566941914184653,7.181647544999938,10.094766415865935,2.1574007574470646,80960,5,5
"[1, 0, 0, 1, 0, 1, 1, 1, 0, 0]",1.0530984257909217,6.04741511589439,10.168341702111,2.32346622043664,165,5,5,1.1262531351509786,4.525936219366942,7.647497713015232,10.250898512534512,2.2077094847683805,34493,5,5
"[1, 0, 0, 1, 1, 0, 0, 0, 0, 1]",1.0100731130382425,5.69488821167167,10.1826000588401,2.3093829335141,65267,4,6,1.2028229558934993,4.601317861615554,8.399743204429132,10.008720976733173,2.296374408112889,533,4,6
"[1, 0, 0, 1, 1, 0, 0, 0, 1, 0]",1.0377573891005625,5.3851334341485,10.3567438652298,2.31770272153926,32323,4,6,1.193620737877231,4.468604042617344,8.432992178841223,9.993116077621522,2.146659116134395,54663,4,6
"[1, 0, 0, 1, 1, 0, 0, 1, 0, 1]",1.0012829454894128,5.75560843283437,9.94435966321479,2.2315386107647,74944,5,5,1.1151157507029987,4.686146102259903,7.366906177432046,10.005929439858024,2.2769563152387966,52854,5,5
"[1, 0, 0, 1, 1, 0, 0, 1, 1, 0]",1.034112284714838,5.99260586238743,10.1442145589221,2.31204294021897,81166,5,5,1.122371962932177,4.607228431461313,7.524254724393658,10.183638915360328,2.113917009870203,19356,5,5
"[1, 0, 0, 1, 1, 0, 1, 0, 1, 0]",1.0346581804388397,5.61901161004983,10.2185603502944,2.1959988419555,95053,5,5,1.099439937645819,4.344660296602626,7.538955407392358,9.993593893150353,2.0772848530006933,26104,5,5
"[1, 0, 0, 1, 1, 0, 1, 1, 0, 0]",1.003480170751354,5.77705785430483,9.80529146667233,2.13190344203948,53369,5,5,1.1121648601327534,4.600739011880164,7.420417710518836,10.269263289287128,2.309770929861947,30560,5,5
"[1, 0, 0, 1, 1, 1, 0, 0, 0, 0]",1.0030870236147043,5.11781469880529,10.1883109862652,2.22400264077719,42406,4,6,1.2111624411957789,4.515932834947778,8.575267978715692,10.154917471975184,2.1559369400165536,8774,4,6
"[1, 0, 0, 1, 1, 1, 0, 0, 1, 0]",1.0247392951973406,6.04083909449808,10.1633200718039,2.1292231082596,23247,5,5,1.1043137588436542,4.618752075888124,7.317543739263344,10.076399370294377,2.2219502540820413,52666,5,5
"[1, 0, 0, 1, 1, 1, 1, 0, 0, 0]",1.0120887841471475,6.30346124796711,10.2219602301153,2.24305060131946,25408,5,5,1.0769264662355567,4.794742192094154,6.845530121105596,10.178997430936816,2.259106462785,20660,5,5
"[1, 0, 1, 0, 0, 0, 0, 0, 1, 1]",1.0140155670331044,5.65055121725135,9.9254135138097,2.08934249059736,28813,4,6,1.1968069214620305,4.125516373015873,8.81051863858271,10.15079482616584,2.079010094133563,60137,4,6
"[1, 0, 1, 0, 0, 0, 0, 1, 1, 0]",1.0243434162170253,5.53861405566083,10.2284688507558,2.18744954703418,88273,4,6,1.201663945654758,4.543637644430176,8.444895923019462,10.269263289287128,2.309770929861947,30560,4,6
"[1, 0, 1, 0, 0, 0, 0, 1, 1, 1]",1.0169411720879782,5.61165051941624,10.1870417396378,2.2519463566524,11347,5,5,1.110645997657474,4.522927828199616,7.481811828250257,10.200355742350736,2.2145516611632936,78641,5,5
"[1, 0, 1, 0, 0, 0, 1, 0, 1, 0]",1.00847153318737,5.32456926865133,10.0366163416909,2.13236908457049,98042,4,6,1.2123329274373231,4.282451954620027,8.821400399345961,10.154917471975184,2.1559369400165536,8774,4,6
"[1, 0, 1, 0, 0, 0, 1, 0, 1, 1]",1.0188591589884486,5.53425235339343,10.101054557147,2.20452328744939,25104,5,5,1.0752967403516156,4.675937780799726,6.946719167117697,10.16782825350856,2.289187764497441,99382,5,5
"[1, 0, 1, 0, 0, 0, 1, 1, 0, 1]",1.0231377374800772,5.76420280442952,10.0952288296215,2.20670841669715,24240,5,5,1.1069758774719811,4.559428799772114,7.40564129731532,9.92200927182452,2.1476058243811216,14985,5,5
"[1, 0, 1, 0, 0, 0, 1, 1, 1, 0]",1.006205677478651,5.83175149538859,10.1252452132939,2.23426770593246,5964,5,5,1.0902883974825008,4.836435557041693,6.948263068651208,10.08582493444837,2.351541974541049,85049,5,5
"[1, 0, 1, 0, 0, 1, 0, 0, 1, 0]",1.0053158073452146,5.18520599474986,10.1319318256081,2.10212918378768,37374,4,6,1.201006420043255,4.489648252329495,8.491778258686148,10.178997430936816,2.259106462785,20660,4,6
